,number_of_reviews,price_range,ratingValue,name,street,city,state,zipcode
80,1102,0.0,3.8,koriente,621 E 7th,Austin,TX,78701
81,479,0.5,4.5,art of the table,1054 North 39th,Seattle,WA,98103
82,419,0.0,3.5,phnom penh noodle house,660 South King,Seattle,WA,98104
83,2944,5.0,4.6,japonessa sushi cocina,1400 1st,Seattle,WA,98101
84,309,5.0,3.2,little barrel and brown,1716 S Congress,Austin,TX,78704
85,718,5.0,3.9,long provincial vietnamese ,1901 2nd,Seattle,WA,98101
86,644,5.0,3.9,casa enrique,5-48 49th,Long Island City,NY,11101
87,1288,2.5,4.4,locanda verde,377 Greenwich St,New York,NY,10013
88,1186,5.0,4.5,juliana’s pizza,19 Old Fulton,Brooklyn,NY,11201
89,2326,7.5,4.5,abc kitchen,35 E 18th St,New York,NY,10003
90,2326,7.5,4.5,abc kitchen,35 E 18th St,New York,NY,10003
91,2326,0.0,4.0,angelica kitchen,300 E 12th St,New York,NY,10003
92,3683,7.5,4.7,hopdoddy burger bar,1400 S Congress,Austin,TX,78704
93,324,7.5,3.3,trace,200 Lavaca,Austin,TX,78701
94,423,2.5,3.9,vespaio ristorante,1610 South Congress,Austin,TX,78704
95,262,7.5,3.5,the sitting room,108 West Roy,Seattle,WA,98119
96,196,2.5,3.6,kedai makan,1802 Bellevue,Seattle,WA,98122
97,214,0.0,4.5,blackboard bistro,3247 California Avenue,Seattle,WA,98116
98,1026,2.5,3.7,harbor city ,707 South King,Seattle,WA,98104
99,317,0.0,3.8,betty,1507 Queen Anne Avenue,Seattle,WA,98109
100,480,7.5,3.8,il bistro,Pike Place Market 93 Pike,Seattle,WA,98101
101,228,2.5,3.1,damn the weather,116 1st Avenue,Seattle,WA,98104
102,366,95.5,3.7,altura,617 Broadway,Seattle,WA,98102
103,405,5.0,3.5,green leaf vietnamese ,2800 1st,Seattle,WA,98121
104,343,0.0,3.6,shiki japanese ,6229 Santa Teresa Blvd,San Jose,CA,95119
105,838,2.5,4.5,bertucelli’s la villa,1319 Lincoln Avenue,San Jose,CA,95125
106,53,0.0,4.5,takai sushi and sake bar,170 S Market St,San Jose,CA,95113
107,169,2.5,3.4,fuji huoshao & dumpling,Orchard Farm Center 6184 Bollinger Road,San Jose,CA,95129
108,714,5.0,3.9,the red hook lobster pound,284 Van Brunt,Brooklyn,NY,11231
109,79,0.0,3.6,bowl & plate at white shallot,3143 Stevens Creek Blvd,San Jose,CA,95117
110,218,6.5,4.0,elements ,6944 Almaden Expy,San Jose,CA,95120
111,225,5.0,3.3,copper restaurant & dessert lounge,3401 Esperanza Crossing Suite,Austin,TX,78758
112,761,7.5,4.5,eddie v’s prime seafood,301 E 5th,Austin,TX,78701
113,416,0.0,3.8,botticelli’s,1321 S Congress,Austin,TX,78704
114,172,45.5,3.6,jeffrey’s,1204 West Lynn,Austin,TX,78703
115,1824,5.0,4.5,south congress cafe,1600 S Congress,Austin,TX,78704
116,657,0.0,4.3,ristorante machiavelli,1215 Pine,Seattle,WA,98101
117,1608,2.5,4.5,the crumpet shop,Pike Place Market 1503 1st,Seattle,WA,98101
118,714,2.5,3.9,tavolata,2323 2nd,Seattle,WA,98121
119,711,5.0,3.8,sweet mango,1040 Willow St,San Jose,CA,95125
120,428,0.0,4.2,noodle pudding,38 Henry,Brooklyn,NY,11201
121,1425,2.5,4.1,scarpetta,355 W 14th St,New York,NY,10014
122,23,0.0,3.8,by chloe,240 Lafayette St,New York,NY,10012
123,1116,2.5,4.4,the little owl,90 Bedford St,New York,NY,10014
124,1124,5.0,4.1,easy tiger,709 E 6th,Austin,TX,78701
125,809,7.5,3.7,parkside,301 E 6th,Austin,TX,78701
126,23,5.0,3.8,brunello ristorante italiano,7115 Roosevelt Way,Seattle,WA,98115
127,11,0.0,3.9,salvatore ristorante italiano,6100 Roosevelt Way,Seattle,WA,98115
128,596,2.5,3.6,marination ma kai,1660 Harbor Ave,Seattle,WA,98126
129,683,0.0,4.5,cascina spinasse,1531 14th,Seattle,WA,98122
130,597,7.5,3.6,the capital grille,The Cobb 1301 4th,Seattle,WA,98101
131,231,5.0,4.0,golden garlic,3082 Landess Avenue,San Jose,CA,95132
132,499,0.0,3.1,nick the greek,143 W Santa Clara St,San Jose,CA,95113
133,786,0.0,3.5,il fornaio,302 S Market St ,San Jose,CA,95113
134,945,0.0,3.2,root and bone,200 E 3rd St,New York,NY,10009
135,4207,5.0,4.4,joe’s shanghai,9 Pell St,New York,NY,10013
136,1280,2.5,4.1,serious pie & biscuit,401 Westlake Avenue,Seattle,WA,98109
137,1280,0.0,3.7,serious pie & biscuit,401 Westlake Avenue,Seattle,WA,98109
138,267,2.5,3.6,bahn thai ,409 Roy,Seattle,WA,98109
139,305,0.0,3.6,shiki japanese ,4 West Roy,Seattle,WA,98119
140,504,7.5,4.2,chinook’s,Fisherman's Terminal 1900 West Nickerson,Seattle,WA,98119
141,349,7.5,3.5,cafe malta,3421 W William Cannon Drive & Brodie,Austin,TX,78745
142,62,5.0,3.1,dine,The Radisson 111 E Cesar Chavez St First Floor,Austin,TX,78701
143,347,2.5,3.6,trio,98 San Jacinto,Austin,TX,78701
144,2595,5.0,4.1,cha cha sushi,547 West Capitol Expressway,San Jose,CA,95136
145,455,1.5,3.2,gaku yakitori,Park Lane Plaza 5152 Moorpark Avenue Suite 40,San Jose,CA,95129
146,658,5.0,3.9,souvlaki’s greek skewers,577 W Alma Avenue,San Jose,CA,95125
147,1489,20.0,3.1,the kickin’ crab,2675 Cropley Avenue,San Jose,CA,95132
148,721,2.5,3.9,marc forgione,134 Reade St,New York,NY,10013
149,843,0.0,4.0,westville chelsea,246 W 18th St,New York,NY,10011
150,1480,5.0,4.3,buttermilk channel,524 Court,Brooklyn,NY,11231
151,449,0.0,3.6,stoneburner,5214 Ballard Avenue,Seattle,WA,98107
152,389,0.0,3.4,burgundian tavern,2253 North 56th,Seattle,WA,98103
