number_of_reviews,price_range,ratingValue,name,address
17 reviews,$30,3.5,Jo's,"242 W 2nd Street, Austin, TX 78701"
23 reviews,$50,2.9,Baby Acapulco,"9505 B Stonelake Boulevard, Austin, TX 78759"
16 reviews,$140,3.6,TRIO,"98 San Jacinto Boulevard, Austin, TX 78701"
11 reviews,$70,3.8,Siena Ristorante Toscano,"6203 N Capital Of Texas Highway, Buliding B, Austin, TX 78731"
27 reviews,$25,4.1,Cabo Bob's Burritos,"500 E Ben White Boulevard, Suite D 100, Austin, TX 78704"
8 reviews,$30,4.1,Rudy's Country Store and Bar-B-Q,"7709 FM 620 N, Austin, TX 78726"
19 reviews,$35,3.5,Austin Java,"1608 Barton Springs Road, TX 78704"
23 reviews,$55,3.5,Blue Star Cafeteria,"4800 Burnet Road, Austin, TX 78756"
21 reviews,$150,3.6,Sullivan's Steakhouse,"300 Colorado Street, Austin, TX 78701"
25 reviews,$60,3.5,Manuel's,"10201 Jollyville Road, Austin, TX 78759"
27 reviews,$35,3.8,Dirty Martin's Place,"2808 Guadalupe Street, Austin, TX 78705"
25 reviews,$25,4.0,The Omelettry,"4631 Airport Boulevard, Austin, TX 78751"
25 reviews,$35,4.1,Asia Cafe,"8650 Spicewood Springs Road, Austin, TX 78759"
17 reviews,$50,3.7,The County Line Barbeque,"6500 W Bee Cave Road, Austin, TX 78746"
24 reviews,$70,3.4,Swift's Attic,"315  Second Floor Congress Avenue, Austin, TX 78701"
13 reviews,$25,3.8,Kebabalicious,"311 E 7th Street, Austin, TX 78701"
27 reviews,$40,4.2,Midori Sushi,"13435 US 183 N, Suite 301, Austin, TX 78750"
4 reviews,$45,3.1,Sushi Junai,"1612 Lavaca Street, Austin, TX 78701"
24 reviews,$200,3.9,Truluck's,"10225 Research Boulevard, Suite 4000, Austin, TX 78759"
29 reviews,$80,3.8,Foreign & Domestic,"306 E 53rd Street, Austin, TX 78751"
14 reviews,$25,3.9,Upper Crust Bakery,"4508 Burnet Road, Austin, TX 78756"
20 reviews,$70,3.6,Gloria's,"3309 Esperanza Crossing, Austin, TX 78758"
20 reviews,$40,4.0,Zocalo Cafe,"1110 W Lynn Street, Austin, TX 78703"
17 reviews,$65,3.9,Mikado Ryotei,"9033 Research Boulevard, Austin, TX 78758"
36 reviews,$30,4.2,Taste of Ethiopia,"1100 Grand Avenue Pkwy, Suite 100, Pflugerville, TX 78660"
20 reviews,$200,3.6,Jeffrey's,"1204 West Lynn Street, Austin, TX 78703"
16 reviews,$25,3.8,Fire Bowl Cafe,"Great Hills Market 9828 Great Hills Trail, Suite 100, Austin, TX 78759"
39 reviews,$65,3.5,Annie's Cafe & Bar,"319 N Congress Avenue, Austin, TX 78701"
35 reviews,$45,3.4,Uncle Billy's Brew & Que,"1530 Barton Springs Road, TX 78704"
19 reviews,$30,4.1,Austin Pizza Garden,"6266 W US Highway 290, Austin, TX 78735"
19 reviews,$30,3.5,Madam Mam's,"2700 W Anderson Lane, Austin, TX 78757"
18 reviews,$40,3.7,Gourdough's Public House,"2700 S Lamar Boulevard, Austin, TX 78704"
20 reviews,$30,3.7,Kick Butt Coffee,"5775 Airport Boulevard, Suite 725, TX 78752"
14 reviews,$60,3.8,Vino Vino,"4119 Guadalupe Steet, Austin, TX 78751"
80 reviews,$25,3.2,Waterloo Ice House,"9600 Escarpment Boulevard, Austin, TX 78749"
29 reviews,$40,3.6,The Jackalope,"404 E 6th Street, Austin, TX 78701"
17 reviews,$50,3.5,Threadgill's,"6416 N Lamar Boulevard, Austin, TX 78752"
26 reviews,$80,3.7,Chandler's Crabhouse,"901 Fairview Avenue North, Seattle, WA 98109"
15 reviews,$50,3.8,Kom Sushi Kitchen,"4917 Airport Boulevard, TX 78751"
16 reviews,$55,3.8,Haiku Japanese Restaurant,"9600 IH 35 S, Suite C600, TX 78748"
18 reviews,$30,3.9,Shultzy's Sausage,"4114 University Way NE, Seattle, WA 98105"
24 reviews,$60,3.4,Restaurant Roux,"4201 Fremont Avenue North, Seattle, WA 98103"
35 reviews,$70,3.7,Fresh Bistro,"4725 42nd Avenue SW, WA 98116"
40 reviews,$85,3.5,Loulay Kitchen & Bar,"Sheraton Seattle Hotel, 600 Union Street, Seattle, WA 98101"
23 reviews,$25,3.7,Pho Cyclo Cafe,"406 Broadway E, Seattle, WA 98102"
23 reviews,$45,3.3,P.F. Chang's,"Westlake Center Level 1, 400 Pine Street, WA 98101"
16 reviews,$40,3.5,Greenlake Bar & Grill,"7200 East Green Lake Drive North, Seattle, WA 98115"
31 reviews,$20,3.9,MOD Pizza,"1302 6th Avenue, Seattle, WA 98101"
40 reviews,$40,3.6,Bambino's,"401 Cedar Street, Seattle, WA 98121"
24 reviews,$35,3.6,14 Carrot Cafe,"2305 Eastlake Avenue E, Seattle, WA 98102"
27 reviews,$35,3.6,Roxy's Diner,"462 North 36th Street, Seattle, WA 98103"
17 reviews,$25,4.4,Malena's Taco Shop,"620 W McGraw Street, Seattle, WA 98119"
26 reviews,$25,3.9,Mr. Gyros,"8411 Greenwood Avenue N, Seattle, WA 98103"
26 reviews,$25,3.9,Citizen,"706 Taylor Avenue North, Seattle, WA 98109"
20 reviews,$20,4.1,Rancho Bravo,"1001 E Pine Street, Seattle, WA 98122"
16 reviews,$25,3.6,Dilettante Cafe and Mocha Martini Bar,"538 Broadway East, Seattle, WA 98102"
25 reviews,$45,3.5,Fad Irish Pub & Restaurant,"801 1st Avenue, Seattle, WA 98104"
22 reviews,$50,3.7,Blue Star Cafe & Pub,"4512 Stone Way North, Seattle, WA 98103"
22 reviews,$45,3.9,Luna Park Cafe,"2918 SW Avalon Way, Seattle, WA 98126"
18 reviews,$25,3.9,Seven Stars Pepper Szechuan Restaurant,"1207 South Jackson Street, Seattle, WA 98144"
34 reviews,$75,3.6,Cutter's Crabhouse,"2001 Western Avenue, Seattle, WA 98121"
32 reviews,$20,4.4,The Hangar Cafe,"6261 13th Avenue South, Seattle, WA 98108"
23 reviews,$45,3.5,8oz Burger & Co.,"1401 Broadway, Seattle, WA 98122"
20 reviews,$40,4.0,Latona Pub,"6423 Latona Avenue NE, Seattle, WA 98115"
13 reviews,$50,3.8,Rhein Haus,"912 12th Avenue, WA 98122"
16 reviews,$40,3.8,74th Street Ale House,"7401 Greenwood Avenue North, Seattle, WA 98103"
18 reviews,$70,3.8,Momiji,"1522 12th Avenue, Seattle, WA 98122"
18 reviews,$40,4.1,Hi Spot Cafe,"1410 34th Avenue, Madrona/Leschi, Seattle, WA 98122"
25 reviews,$75,3.6,Andaluca - Mayflower Park,"Mayflower Park Hotel, 407 Olive Way, Seattle, WA 98101"
12 reviews,$15,3.5,Mrs. Johnson's Bakery,"4909 Airport Boulevard, Austin, TX 78751"
17 reviews,$40,3.6,Scholz Garten,"1607 San Jacinto Boulevard, Austin, TX 78701"
34 reviews,$40,3.6,Bone Daddy's House of Smoke,"11617 Research Boulevard, Austin, TX 78759"
100 reviews,$25,3.0,Waterloo Ice House,"9600 S Interstate Hwy 35, Suite D-100, Austin, TX 78748"
7 reviews,$45,3.6,Ginger Man,"301 Lavaca Street, Austin, TX 78701"
16 reviews,$30,3.7,Enchiladas Y Mas,"1911 W Anderson Lane, Austin, TX 78757"
17 reviews,$60,3.2,Mimi's Cafe,"10515 N MoPac Expressway, Austin, TX 78758"
10 reviews,$45,3.8,Chinatown,"3407 Greystone Drive, Austin, TX 78731"
25 reviews,$70,3.7,Pappasito's,"6513 IH 35 N, Austin, TX 78752"
18 reviews,$120,3.7,Andiamo Ristorante,"2521 Rutland Drive, Austin, TX 78758"
11 reviews,$20,4.2,Texas Honey Ham Company,"3736 Bee Cave Road, Suite 6A, Austin, TX 78746"
17 reviews,$35,3.5,Ruby's BBQ,"512 W 29th Street, Austin, TX 78705"
10 reviews,$30,3.7,Dolce Vita,"4222 Duval Street, Austin, TX 78751"
16 reviews,$30,3.8,Milto's Pizza Pub,"2909 Guadalupe Street, TX 78705"
4 reviews,$35,3.3,La Tapatia,"13450 N Hwy 183, Suite 243, Austin, TX 78729"
25 reviews,$40,3.9,Tarbouch,"534 E Oltorf Street, Austin, TX 78704"
12 reviews,$60,3.4,El Arroyo,"1624 W 5th Street, Austin, TX 78703"
24 reviews,$40,3.5,Cedar Door Bar and Grill,"201 Brazos Street, Austin, TX 78701"
31 reviews,$40,4.1,Muangthai Thai Cuisine,"13945 US Hwy 183, Suite C 80, Austin, TX 78717"
11 reviews,$25,3.9,Pluckers Wing Bar,"2222 Rio Grande Street, Austin, TX 78705"
13 reviews,$30,4.0,Dan's Hamburgers,"4308 Manchaca Road, Austin, TX 78704"
20 reviews,$45,3.4,Hillside Farmacy,"1209 E 11th Street, Austin, TX 78702"
18 reviews,$80,3.4,Doc's Bar & Grill,"1123 S Congress Avenue, TX 78704"
14 reviews,$100,3.4,Carmelo's Italian Restaurant,"504 E 5th Street, Austin, TX 78701"
18 reviews,$40,3.9,Fabi+Rosi,"509 Hearn Street, Austin, TX 78703"
21 reviews,$50,3.9,Black Sheep Lodge,"2108 S Lamar Boulevard, Austin, TX 78704"
13 reviews,$70,3.6,Nutty Brown Cafe,"12225 Hwy 290 W, Austin, TX 78737"
21 reviews,$35,3.6,East Side Showroom,"1100 E 6th Street, Austin, TX 78702"
42 reviews,$275,4.1,The NoMad Restaurant,"10 W 28th Street, New York, NY 10001"
53 reviews,$30,4.3,Di Fara,"1424 Avenue J, Brooklyn, NY 11230"
31 reviews,$200,4.0,"One If By Land, Two If By Sea","17 Barrow Street, New York, NY 10014"
35 reviews,$35,4.0,The City Bakery,"3 W 18th Street, New York, NY 10011"
28 reviews,$200,3.9,Sparks Steak House,"210 E 46th Street, New York, NY 10017"
27 reviews,$125,4.1,Quality Meats,"57 W 58th Street, New York, NY 10019"
22 reviews,$25,4.0,Los Tacos No. 1,"Chelsea Market, 75 9th Avenue, New York, NY 10011"
21 reviews,$50,4.2,Supper,"156 E 2nd Street, New York, NY 10009"
52 reviews,$25,4.0,Baohaus,"238 E 14th Street, New York, NY 10003"
27 reviews,$90,4.3,Buttermilk Channel,"524 Court Street, Brooklyn, NY 11231"
27 reviews,$100,4.1,La Mela,"167 Mulberry Street, New York, NY 10013"
28 reviews,$60,4.4,Bogot Latin Bistro,"141 5th Avenue, Brooklyn, NY 11217"
55 reviews,$175,4.2,Colicchio & Sons,"85 10th Avenue, New York, NY 10011"
31 reviews,$50,4.2,Blossom,"187 9th Avenue, New York, NY 10011"
19 reviews,$70,4.2,The Odeon,"145 W Broadway, New York, NY 10013"
28 reviews,$90,4.3,The Smith,"55 3rd Avenue, New York, NY 10003"
31 reviews,$180,3.9,Esca,"402 W 43rd Street, New York, NY 10036"
45 reviews,$150,3.8,Craftbar,"900 Broadway, New York, NY 10003"
30 reviews,$20,4.3,Amy's Bread,"672 9th Avenue, New York, NY 10036"
27 reviews,$60,4.4,La Bonne Soupe,"48 W 55th Street, New York, NY 10019"
48 reviews,$70,3.8,db Bistro Moderne,"City Club Hotel, 55 West 44th Street, New York, NY 10036"
34 reviews,$150,4.3,2nd Ave Deli,"162 E 33rd Street, New York, NY 10016"
22 reviews,$75,3.8,Bryant Park Grill,"Bryant Park, 25 W 40th Street, New York, NY 10018"
55 reviews,$125,3.2,Guy's American Kitchen & Bar,"220 W 44th Street, New York, NY 10036"
20 reviews,$100,3.9,Asia de Cuba,"415 Lafayette Street, New York, NY 10003"
59 reviews,$80,4.1,Patsy's Italian Restaurant,"236 W 56th Street, New York, NY 10019"
34 reviews,$80,3.9,Les Halles,"15 John Street, New York, NY 10038"
22 reviews,$150,4.2,Casellula Cheese and Wine Cafe,"401 West 52nd Street, New York, NY 10019"
40 reviews,$90,3.9,Public,"210 Elizabeth Street, New York, NY 10012"
4 reviews,$80,3.4,Citrus,"355 Santana Row, , San Jose, CA 95128"
5 reviews,$40,3.5,Mudai,"503 W San Carlos Street, San Jose, CA 95126"
4 reviews,$50,3.2,Patxi's Pizza,"3350 Zanker Road, North San Jose, San Jose, CA 95134"
2 reviews,$40,3.5,Grande Pizzeria,"150 E San Carlos Street, San Jose, CA 95112"
3 reviews,$35,3.2,Honba Sushi,"1759 Technology Drive, San Jose, CA 95110"
1 Review,$15,3.4,Foster's Freeze,"698 N 4th Street, San Jose, CA 95112"
1 Review,$13,3.6,Wasabi,"850 Blossom Hill Road, San Jose, CA 95123"
1 Review,$55,3.5,Zona Rosa,"1411 The Alameda Street, San Jose, CA 95126"
2 reviews,$20,3.4,Greenlee's Bakery,"1081 The Alameda Street, San Jose, CA 95126"
1 Review,$25,4.0,Antipasto's,"3454 McKee Road, San Jose, CA 95127"
3 reviews,$20,-,Haberdasher,"43 W. San Salvador Street, Downtown, San Jose, CA 95113"
4 reviews,$40,3.0,Taqueria Los Burritos,"311 N Capitol Avenue, East San Jose, San Jose, CA 95133"
1 Review,$80,3.5,The Posh Bagel,"3957 Rivermark Plaza, San Jose, CA 95054"
3 reviews,$50,3.4,Best Taste Chinese,"2360 S Bascom Avenue, Suite B, San Jose, CA 95008"
1 Review,$13,4.0,Elements Restaurant,"6944 Almaden Expressway, CA 95120"
2 reviews,$45,3.7,Golden Buddha,"2768 Aborn Road, San Jose, CA 95121"
3 reviews,$30,3.2,P.F. Chang's,"Westfield Oakridge, 925 Blossom Hill Road, Suite 1515, San Jose, CA 95123"
3 reviews,$30,3.6,Flames Coffee Shop,"7170 Santa Teresa Boulevard, San Jose, CA 95139"
2 reviews,$43,3.4,Sushi Zen,"1305 North First Street, San Jose, CA 95112"
1 Review,$40,3.6,Thai Spice,"1102 Bird Avenue, Suite 10, San Jose, CA 95125"
1 Review,$35,3.0,Loteria Taco Bar,"San Pedro Square Market, 87 N San Pedro Street, San Jose, CA 95110"
1 Review,$15,3.7,Pho My,"5499 Snell Avenue, San Jose, CA 95123"
1 Review,$40,-,Curry Pundits,"30 E Santa Clara Street, San Jose, CA 95113"
3 reviews,$40,3.3,Sushi Mania,"1711 Branham Lane, San Jose, CA 95118"
2 reviews,$25,-,Veggie Grill,"Westgate Center, 1692 Saratoga Avenue, San Jose, CA 95129"
2 reviews,$30,3.3,Sweet Passions Bakery,"1512 Alum Rock Avenue, San Jose, CA 95116"
31 reviews,$150,3.7,Daniel's Broiler,"809 Fairview Avenue North, Seattle, WA 98102"
20 reviews,$35,3.7,King's Hardware,"5225 Ballard Avenue North, Seattle, WA 98107"
28 reviews,$20,4.2,Columbia City Bakery,"4865 Rainier Avenue South, Seattle, WA 98118"
26 reviews,$50,3.8,Alibi Room,"Pike Place Market, 85 Pike Street Suite 410, Seattle, WA 98101"
43 reviews,$65,3.7,Seatown Seabar & Rotisserie,"2010 Western Avenue, Seattle, WA 98121"
20 reviews,$55,3.6,Nijo Sushi Bar & Grill,"83 Spring Street, Seattle, WA 98104"
33 reviews,$25,3.8,Homegrown,"3416 Fremont Avenue North, Seattle, WA 98103"
28 reviews,$15,3.9,Mighty-O Donuts,"2110 North 55th Street, Seattle, WA 98103"
28 reviews,$35,3.9,Skillet Food Truck,"Location Varies, Seattle, WA 98101"
30 reviews,$20,4.2,Pecos Pit Barbeque,"2260 1st Avenue Street, Seattle, WA 98134"
36 reviews,$30,3.8,Bacco Cafe,"Inn At The Market, 86 Pine Street, Seattle, WA 98101"
28 reviews,$35,4.1,Mojito,"7545 Lake City Way NE, Seattle, WA 98115"
24 reviews,$65,3.9,Jolly Roger Taproom,"1111 NW Ballard Way, WA 98107"
25 reviews,$50,3.9,Chiang's Gourmet,"7845 Lake City Way NE, Seattle, WA 98115"
36 reviews,$50,3.6,Moshi Moshi Sushi,"5324 Ballard Avenue NW, Seattle, WA 98107"
23 reviews,$45,4.1,Circa,"2605 California Avenue SW, WA 98116"
28 reviews,$35,4.0,Veraci Pizza,"500 NW Market Street, Seattle, WA 98107"
24 reviews,$40,3.8,India Bistro,"2301 NW Market Street, Seattle, WA 98107"
35 reviews,$45,3.8,Endolyne Joe's,"9261 45th Avenue SW, Seattle, WA 98136"
27 reviews,$40,4.2,Monkey Bridge,"1723 NW Market Street, Seattle, WA 98107"
27 reviews,$70,3.8,Il Bistro,"Pike Place Market, 93 Pike Street, Seattle, WA 98101"
34 reviews,$150,3.6,Aqua by El Gaucho,"Pier 70, 2801 Alaskan Way, Seattle, WA 98121"
30 reviews,$160,3.9,Il Terrazzo Carmine,"411 1st Avenue South, Seattle, WA 98104"
36 reviews,$45,3.4,Tap House Grill,"1506 6th Avenue, Seattle, WA 98101"
22 reviews,$55,4.1,La Medusa,"4857 Rainier Avenue South, Columbia City, Seattle, WA 98118"
28 reviews,$30,3.8,Samurai Noodle,"606 5th Avenue Street, WA 98104"
23 reviews,$50,3.4,I Love Sushi,"1001 Fairview Avenue North, Seattle, WA 98109"
24 reviews,$45,3.2,Thai Ginger,"Pacific Place Level 4, 600 Pine Street, Seattle, WA 98101"
32 reviews,$45,4.1,List,"2226 1st Avenue, Seattle, WA 98121"
30 reviews,$75,3.3,Hale's Ales Brewpub,"4301 Leary Way NW, Seattle, WA 98107"
23 reviews,$80,3.8,The Kunjip,"32 W 32nd Street, New York, NY 10001"
21 reviews,$250,3.5,Michael Jordan's The Steakhouse N.Y.C.,"23 Vanderbilt Avenue, New York, NY 10017"
36 reviews,$50,3.9,Co.,"230 9th Avenue, New York, NY 10001"
41 reviews,$45,4.0,Don Antonio By Starita,"309 W 50th Street, New York, NY 10019"
19 reviews,$55,4.0,Angelica Kitchen,"300 E 12th Street, New York, NY 10003"
6 reviews,$60,3.8,Bettola,"412 Amsterdam Avenue, New York, NY 10024"
23 reviews,$120,4.2,L'Artusi,"228 West 10th Street, New York, NY 10014"
29 reviews,$250,3.8,Aureole,"135 W 42nd Street, New York, NY 10036"
35 reviews,$90,4.0,Ed's Lobster Bar,"222 Lafayette Street, New York, NY 10012"
24 reviews,$50,4.0,Golden Unicorn,"18 E Broadway, New York, NY 10002"
24 reviews,$40,3.9,Sakagura,"211 E 43rd Street, New York, NY 10017"
30 reviews,$80,3.9,Brick Lane Curry House,"99 2nd Avenue, New York, NY 10003"
19 reviews,$55,4.4,Cafe Orlin,"41 St Marks Place, New York, NY 10003"
25 reviews,$100,4.0,Thalia,"828 8th Avenue, 50th Street, New York, NY 10019"
22 reviews,$110,4.0,Basta Pasta,"37 W 17th Street, New York, NY 10011"
31 reviews,$75,4.0,Dirt Candy,"86 Allen Street, New York, NY 10002"
24 reviews,$40,4.1,Yakitori Taisho,"5 St. Marks Place, Suite 8, New York, NY 10003"
31 reviews,$15,4.0,Vanessa's Dumpling House,"118A Eldridge Street, New York, NY 10002"
39 reviews,$20,4.3,Big Gay Ice Cream Shop,"125 E 7th Street, New York, NY 10009"
21 reviews,$80,4.3,Angelo's Pizza,"117 W 57th Street, New York, NY 10019"
3 reviews,$160,3.0,Lincoln Square Steak,"208 W 70th Street, New York, NY 10023"
18 reviews,$30,4.6,Joy Burger Bar,"1567 Lexington Avenue, New York, NY 10029"
39 reviews,$40,3.9,Porchetta,"110 East 7th Street, New York, NY 10009"
26 reviews,$80,4.0,Hundred Acres,"38 MacDougal Street, New York, NY 10012"
22 reviews,$50,4.6,Denino's Pizzeria & Tavern,"524 Port Richmond Avenue, NY 10302"
30 reviews,$40,3.9,Nom Wah Tea Parlor,"13 Doyers Street, New York, NY 10013"
29 reviews,$90,3.7,Ninja New York,"25 Hudson Street, New York, NY 10013"
27 reviews,$40,3.9,Buvette,"42 Grove Street, New York, NY 10014"
18 reviews,$75,3.8,Agave,"140 7th Avenue S, New York, NY 10014"
35 reviews,$15,4.1,Murray's Bagels,"242 8th Avenue, New York, NY 10011"
2 reviews,$80,3.5,Bluefin Japanese,"754 The Alameda Street, Suite 10, San Jose, CA 95126"
2 reviews,$40,3.3,Blue Mango,"635 Coleman Avenue, San Jose, CA 95110"
2 reviews,$30,-,LK Tea & Grill,"2780 Aborn Road, San Jose, CA 95121"
3 reviews,$40,3.8,Tomato Thyme,"1560 Hamilton Avenue, San Jose, CA 95125"
1 Review,$15,3.4,Fantasia,"378 Santana Row, San Jose, CA 95128"
2 reviews,$43,3.6,Erawan Thai Cuisine,"5945 South San Jose Expressway, South San Jose, San Jose, CA 95120"
4 reviews,$13,3.6,Shiki Japanese,"6229 Santa Teresa Boulevard, San Jose, CA 95119"
4 reviews,$43,3.8,Peanuts Deluxe Sandwich Shop,"275 East San Fernando Street, San Jose, CA 95112"
3 reviews,$25,3.4,Juicy Burger,"630 Blossom Hill Road,  San Jose, CA 95123"
2 reviews,$35,3.6,Chipotle,"975 The Alameda Street, Suite 10, San Jose, CA 95126"
3 reviews,$30,3.8,Paesano,"350 W Julian Street, Suite 1, San Jose, CA 95110"
6 reviews,$80,3.5,New Tandoori Cafe,"Stevens Creek Central, 5134 Stevens Creek Boulevard, San Jose, CA 95129"
3 reviews,$20,3.9,Yuri Sushi,"3236 South White Road, San Jose, CA 95148"
1 Review,$20,3.6,Mini Gourmet,"599 S Bascom Avenue, Willow Glen, San Jose, CA 95128"
4 reviews,$40,3.5,Caf San Jos,"1583 Meridian Avenue, Suite A, San Jose, CA 95125"
1 Review,$65,3.6,Mitsuwa Marketplace,"675 Saratoga Ave, San Jose, CA 95129"
2 reviews,$30,3.4,Wingstop,"503 Coleman Avenue, San Jose, CA 95110"
3 reviews,$35,3.4,Banana Crepe,"248 Jackson Street, San Jose, CA 95112"
1 Review,$25,3.3,La Lune Sucre,"116 Paseo De San Antonio Walk, San Jose, CA 95112"
4 reviews,$40,2.8,Nhatrang,"1820 Tully Road, San Jose, CA 95122"
1 Review,$10,3.9,Gulzaar Halaal,"1880 W San Carlos Street, San Jose, CA 95128"
3 reviews,$15,3.5,Ocean Delight,"5400 Monterey Road, San Jose, CA 95111"
2 reviews,$30,3.7,Caffe Adria,"Orchard Farm Center, 6174 Bollinger Road, San Jose, CA 95129"
3 reviews,$13,3.3,Good Karma Vegan Cafe,"37 S 1st Street, San Jose, CA 95113"
1 Review,$10,3.4,Clover Bakery,"4342 Moorpark Avenue, San Jose, CA 95129"
1 Review,$20,3.5,Whole Foods Market,"9607 Research Boulevard, Austin, TX 78759"
15 reviews,$65,3.8,Bar Chi Sushi,"206 Colorado Street, Austin, TX 78701"
15 reviews,$30,3.7,Jo's,"1300 S Congress Avenue, Austin, TX 78704"
18 reviews,$70,3.7,Satellite Bistro & Bar,"5900 W Slaughter Lane, Suite 400, Austin, TX 78749"
14 reviews,$25,3.7,East Side King,"1618 1/2 E 6th Street, TX 78702"
25 reviews,$150,3.6,Vince Young Steakhouse,"301 San Jacinto Boulevard, Austin, TX 78701"
7 reviews,$45,3.2,Violet Crown Cinema and Cafe,"434 W 2nd Street, Austin, TX 78701"
23 reviews,$40,3.9,Milano Cafe,"4601 Southwest Pkwy, Austin, TX 78735"
17 reviews,$35,3.6,Pinthouse Pizza,"4729 Burnet Road, Austin, TX 78756"
15 reviews,$25,3.9,Minh's Cafe,"12221 Riata Trace Pkwy, Suite 190,Austin, TX 78727"
9 reviews,$50,3.7,El Borrego De Oro,"3900 S Congress Avenue, TX 78704"
12 reviews,$25,3.7,San Francisco Bakery and Cafe,"2900 W Anderson Lane, Suite L, Austin, TX 78757"
16 reviews,$30,3.5,Billy's on Burnet,"2105 Hancock Drive, Austin, TX 78756"
13 reviews,$30,3.4,Yellow Jacket Social Club,"1704 E 5th Street, Austin, TX 78702"
15 reviews,$45,3.9,Shanghai Restaurant,"6718 Middle Fiskville Road, Austin, TX 78752"
16 reviews,$40,4.3,Phara's,"111 North Loop Boulevard E, Austin, TX 78751"
18 reviews,$30,3.7,House Pizzeria,"5111 Airport Boulevard, Austin, TX 78751"
16 reviews,$45,3.6,Catfish Parlour,"11910 Research Boulevard, Austin, TX 78759"
7 reviews,$30,3.3,Pho Dan,"11220 N Lamar Boulevard, Suite B 200, Austin, TX 78753"
20 reviews,$40,3.6,Hill's Cafe,"4700 S Congress Avenue, Austin, TX 78745"
32 reviews,$70,3.6,Zed's Restaurant,"501 W Canyon Ridge Drive, TX 78753"
13 reviews,$75,3.6,Zax Restaurant & Bar,"312 Barton Springs Road, Austin, TX 78704"
10 reviews,$40,3.7,Flying Saucer,"815 W 47th Street, Suite 203, Austin, TX 78751"
9 reviews,$60,3.8,So Paulo's,"2809 San Jacinto Boulevard, Austin, TX 78705"
18 reviews,$40,3.8,Amaya's Taco Village,"5804 IH 35 N, Austin, TX 78751"
18 reviews,$70,3.7,Freda's Seafood Grille,"10903 Pecan Park Boulevard, Austin, TX 78750"
17 reviews,$45,3.9,Osaka Mansun Restaurant,"13492 US Hwy 183 N, Suite 160, Austin, TX 78750"
16 reviews,$25,3.4,Centerpoint Station,"3946 S Interstate Hwy 35, San Marcos, TX 78666"
16 reviews,$25,3.5,Opal Divine's,"12709 N MoPac Expressway, Austin, TX 78727"
11 reviews,$20,3.6,El Chilito,"2219 Manor Road, Austin, TX 78722"
18 reviews,$30,3.7,Thai Kitchen,"3009 Guadalupe Street, Austin, TX 78705"
5 reviews,$25,3.4,Taco Joint,"2807 San Jacinto Boulevard, Austin, TX 78712"
10 reviews,$60,3.1,Launderette,"2115 Holly Street, Austin, TX 78702"
20 reviews,$30,3.9,Casa Colombia,"2409 E 7th Street, TX 78702"
19 reviews,$25,3.5,Star Seeds,"3101 N Interstate 35, Austin, TX 78722"
14 reviews,$20,3.9,Sandy's Hamburgers,"603 Barton Springs Road, Austin, TX 78704"
20 reviews,$35,3.7,Arpeggio Grill,"6619 Airport Boulevard, Austin, TX 78752"
10 reviews,$20,3.5,Tacodeli,"4200 N Lamar Boulevard, TX 78756"
5 reviews,$30,3.6,Arturo's Underground Cafe,"314 W 17th Street, Austin, TX 78701"
9 reviews,$50,3.4,Bufalina,"1519 E Cesar Chavez Street, Austin, TX 78702"
19 reviews,$100,3.3,McCormick & Schmick's,"11600 Century Oaks Terrace, Austin, TX 78758"
11 reviews,$65,4.0,360 Uno,"3801 N Capital of Texas Hwy, Suite G100, Austin, TX 78746"
17 reviews,$70,3.1,Iron Cactus,"10001 Stonelake Boulevard, Austin, TX 78759"
13 reviews,$35,3.8,Chuy's,"4301 Building C, W William Cannon Drive, Austin, TX 78749"
20 reviews,$35,3.7,Ho Ho Chinese BBQ,"13000 Building 6 IH 35 N, Austin, TX 78753"
17 reviews,$50,3.3,El Sol y La Luna,"600 E 6th Street, Austin, TX 78701"
13 reviews,$75,3.3,Barlata Tapas Bar,"1500 S Lamar Boulevard, Suite 150, Austin, TX 78704"
25 reviews,$60,3.3,New India Cuisine,"2304 S Congress Avenue, Austin, TX 78704"
4 reviews,$30,3.3,La Madeleine,"701 S Capital Of Texas Highway, Suite G, TX 78746"
17 reviews,$60,3.7,Buca di Beppo,"3612 Tudor Boulevard, Austin, TX 78759"
22 reviews,$35,3.5,Crawfish Shack & Oyster Bar,"2013 Wells Branch Pkwy, Suite 106, Austin, TX 78728"
32 reviews,$40,3.6,B.D. Riley's Irish Pub & Restaurant,"204 E 6th Street, Austin, TX 78701"
16 reviews,$175,3.8,Fleming's Prime Steakhouse & Wine Bar,"320 E 2nd Street, Austin, TX 78701"
19 reviews,$50,3.7,Tacos and Tequila,"507 Pressler Street, Austin, TX 78703"
24 reviews,$10,3.7,Lick Honest Ice Creams,"1100 South Lamar Boulevard Suite 1135, Austin, TX 78704"
17 reviews,$30,3.9,Pho Saigon Noodle House,"10901 N Lamar Boulevard, Suite A-108, Austin, TX 78753"
13 reviews,$35,3.6,Tino's Greek Cafe,"13450 US 183 N, Suite 233, TX 78759"
19 reviews,$35,3.6,Madras Pavilion,"9025 Research Boulevard, Suite 100, Austin, TX 78758"
13 reviews,$60,3.3,Abuelo's Mexican Restaurant,"2901 S Capital Of Texas Highway, Austin, TX 78746"
16 reviews,$75,3.2,Blue C Sushi,"University Village, 2675 Village Lane NE, Seattle, WA 98105"
