_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews
13,30,129,jack allen’s kitchen,7720 Hwy 71 W Austin TX 78735,4.5,$20,1143,jack allen's kitchen,7720 Highway 71 W Austin TX 78735,4.8,$60,87
14,35,1051,paesano ristorante italiano,350 W Julian St San Jose CA 95110,4.0,$20,616,paesano,350 W Julian St Suite 1 San Jose CA 95110,3.8,$30,3
15,40,309,elevenfifty new lounge & ,1150 Murphy Ave San Jose CA 95131,4.0,$20,67,california sourdough,1150 Murphy Avenue San Jose CA 95131,4.4,$30,3
16,49,3152,reserve a table,3 Greenwich Ave New York NY 10014,4.0,$20,1150,olio e piu,3 Greenwich Avenue New York NY 10014,3.5,$80,18
17,52,1489,rubirosa,235 Mulberry St New York NY 10012,4.0,$20,1082,rubirosa,235 Mulberry St New York NY 10012,4.1,$85,30
18,54,262,joule,3506 Stone Way N Seattle WA 98103,4.0,$20,580,joule,3506 Stone Way North Seattle WA 98103,4.0,$55,53
19,54,274,joule,3506 Stone Way N Seattle WA 98103,4.0,$20,580,the whale wins,3506 Stone Way N Seattle WA 98103,3.6,$60,47
20,55,668,the zig zag café,1501 Western Ave Seattle WA 98101,4.5,$20,762,zig zag cafe,1501 Western Avenue Seattle WA 98101,3.9,$50,23
21,56,988,mighty-o donuts,2110 N 55th St Seattle WA 98103,4.5,$5,658,mighty-o donuts,2110 North 55th St Seattle WA 98103,3.9,$15,28
22,59,336,sway,1417 S 1st St Austin TX 78704,4.0,$20,1057,sway,1417 S 1st St Austin TX 78704,3.7,$65,24
23,60,614,crow,823 5th Ave N Seattle WA 98109,4.0,$20,452,crow,823 5th Avenue North Seattle WA 98109,4.0,$50,37
24,63,242,umi sake house,2230 1st Ave Seattle WA 98121,4.0,$20,2642,umi sake house,2230 1st Avenue Seattle WA 98121,4.2,$75,69
25,65,511,eastside tavern,1510 E Cesar Chavez Austin TX 78702,4.0,$20,59,east side pies,1401 B Rosewood Avenue TX 78702,4.1,$35,20
26,66,2002,mkt.,2108 N 55th St Seattle WA 98103,4.5,$45,194,elysian brewing tangletown,2106 N 55th St Seattle WA 98103,3.2,$45,10
27,66,2539,mkt.,2108 N 55th St Seattle WA 98103,4.5,$45,194,mkt.,2108 North 55th St Seattle WA 98103,3.3,$50,11
28,68,1374,driskill grill,604 Brazos St Austin TX 78701,4.0,$91,168,the driskill grill - the driskill,604 Brazos St Austin TX 78701,3.7,$175,17
29,70,837,red ash,303 Colorado St Austin TX 78701,4.5,$45,51,sullivan's steakhouse,300 Colorado St Austin TX 78701,3.6,$150,21
30,71,2332,reserve a table,14 Christopher St New York NY 10014,4.5,$20,635,havana alma de cuba,94 Christopher St New York NY 10014,3.8,$75,21
31,71,3135,reserve a table,14 Christopher St New York NY 10014,4.5,$20,635,i sodi,105 Christopher St New York NY 10014,3.7,$120,7
32,80,57,serious pie,316 Virginia St Seattle WA 98121,4.0,$20,3185,serious pie,316 Virginia St Seattle WA 98121,4.3,$40,122
33,82,1474,2nd city,525 Hudson St New York NY 10014,4.5,$20,260,redfarm,529 Hudson St New York NY 10014,3.9,$70,27
34,83,173,the wild son,53 Little W 12th St New York NY 10014,4.5,$20,72,bagatelle,1 Little W 12th St New York NY 10014,4.0,$120,97
35,85,70,toulouse petit,601 Queen Anne Ave N Seattle WA 98109,4.0,$20,2797,toulouse petit,601 Queen Anne Avenue N Queen Anne: Lower Seattle WA 98109,4.7,$80,214
36,88,58,piroshky piroshky,1908 Pike Pl Seattle WA 98101,4.5,$5,3994,piroshky piroshky,Pike Place Market 1908 Pike Place Seattle WA 98101,4.3,$15,120
37,90,635,biscuit bitch,1909 1st Ave Seattle WA 98101,4.0,$5,1622,biscuit bitch,1909 1st Avenue Seattle WA 98101,3.6,$25,36
38,91,757,reserve a table,15005 Mount Hamilton Rd San Jose CA 95140,4.0,$45,390,grandview,15005 Mount Hamilton Road San Jose CA 95140,3.4,$65,1
39,92,73,lola,2000 4th Ave Seattle WA 98121,4.0,$20,2763,lola,Hotel Andra 2000 4th Avenue Seattle WA 98121,4.2,$70,147
40,93,978,sushi jae,4710 Meridian Ave San Jose CA 95118,4.0,$20,76,sushi mania,1711 Branham Lane San Jose CA 95118,3.3,$40,3
41,94,1427,bob korean bbq,4320 Moorpark Ave San Jose CA 95129,4.5,$20,23,hana,4320 Moorpark Avenue San Jose CA 95129,3.2,$30,2
42,95,582,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,the pita pit,151 S. Second St Suite 185 San Jose CA 95113,3.7,$20,1
43,95,977,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,curry pundits,30 E Santa Clara St San Jose CA 95113,-,$40,1
44,95,1191,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,the city fish,30 East Santa Clara St San Jose CA 95113,2.9,$25,3
45,95,2025,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3
46,95,2068,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1
47,95,2568,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,bakery mexico,87 E Santa Clara St San Jose CA 95113,3.1,$20,1
48,95,3090,the city fish,30 E Santa Clara St San Jose CA 95113,4.5,$5,581,dive bar,78 E Santa Clara St San Jose CA 95113,-,$25,1
49,96,1654,bonchon,1375 Blossom Hill Rd San Jose CA 95118,4.0,$20,263,cup n saucer family,1375 Blossom Hill Road San Jose CA 95118,3.5,$40,2
50,96,2375,bonchon,1375 Blossom Hill Rd San Jose CA 95118,4.0,$20,263,senor taco,1375 Blossom Hill Road San Jose CA 95118,3.9,$35,2
51,97,1056,demiya,375 Saratoga Ave San Jose CA 95129,4.5,$20,47,mitsuwa marketplace,675 Saratoga Ave San Jose CA 95129,3.6,$65,1
52,101,130,enoteca vespaio,1610 S Congress Ave Austin TX 78704,4.0,$20,612,enoteca vespaio,1610 S Congress Avenue Austin TX 78704,4.3,$70,58
53,101,509,enoteca vespaio,1610 S Congress Ave Austin TX 78704,4.0,$20,612,vespaio ristorante,1610 S Congress Avenue Austin TX 78704,3.9,$40,26
54,102,2729,li’l nonna’s,1505 Town Creek Dr Austin TX 78741,5.0,$20,16,buzzmill coffee,1505 Town Creek Drive Austin TX 78741,3.2,$25,4
55,103,433,coast bar & kitchen,360 Nueces St Austin TX 78701,4.5,$20,37,second bar + kitchen,200 Congress Avenue Austin TX 78701,3.9,$90,42
